"","X.1","X","date","inflation","m2","unemployment","tb3m","tb6m","reserves","persincome","indprod","persconsind","pcomodind","m1","deposits","avehourearn","wages","houseunits","tresu10y","mbase","housesalesprice","dispincome","loansbanks","IntDiscUS","housesupply","Linflation","Lm2","Lunemployment","Ltb3m","Ltb6m","Lreserves","Lpersincome","Lindprod","Lpersconsind","Lpcomodind","Lm1","Ldeposits","Lavehourearn","Lwages","Lhouseunits","Ltresu10y","Lmbase","Lhousesalesprice","Ldispincome","Lloansbanks","LIntDiscUS","Lhousesupply","coraveearn.unem","corhouseuni.unem","cormbase.unem","cortres10y.unem","corwages.unem","corun.unem","corm2.unem","corGDP.unem","cortb3m.unem","cortb6m.unem","correserves.unem","cordisc.unem","cordispinc.unem","corhouseprice.unem","corhousesupp.unem","corloans.unem","corcomind.unem","cordeposits.unem","corm1.unem","corperscons.unem","corpersinc.unem"
"11",11,13,"1965-01-01",31.28,427.5,3572,3.81,3.94,3.9,551.8,31.4688,18.549,31.8,34,126.1,2.58,351,1361,4.19,57138,20700,13824,59.241,4,5.6,0.000910755877682523,0.00654686020859178,-0.010032711932913,0.006597349960717,0.00659975347176609,0.00949535494576814,0.0063035493398748,0.00726423791762247,0.00106250704658343,0,0.00427444119896255,0.0034403914478444,0.00262488892161425,0.00638778301300051,-0.0136380958298405,0.000398724843611364,0.00434063538699977,0.0125779369144402,0.00481427889524906,0.0101960316306893,0.0111276160520435,-0.00292427665093918,-0.639748284065288,0.568842859575478,-0.665370694636838,-0.624327963805415,-0.707942155524272,-0.636664595715816,-0.635997614385344,-0.834236676894327,-0.629425398155782,-0.632558182830924,-0.589204856363912,-0.763455146701632,-0.769103809884473,-0.574068743830884,-0.153013242383292,-0.740692902672383,-0.891770479949114,-0.626310266128727,-0.702796816945246,-0.626848160323394,-0.696286588404691
"12",12,14,"1965-02-01",31.28,430.4,3730,3.93,4,3.98,552.2,31.6645,18.556,31.9,34.2,126.1,2.59,352.9,1433,4.21,56508,20400,13813,60.0693,4,5.5,0.000840697733245406,0.00656331099798936,-0.00593153635026807,0.00847526432855109,0.00725466765163394,0.0103268865776895,0.00587440229164359,0.00718234275038565,0.0010097994003044,0.000241516923435992,0.00439680106461145,0.00317574595185637,0.00272054952594548,0.0063116848747204,-0.00862359421395235,0.000734354760275374,0.00315388086565008,0.0104874187347792,0.00438271633839312,0.0104798004267496,0.0102716455865017,-0.00408537117799603,-0.606376322065977,0.576049889055795,-0.638250164858121,-0.604820529328094,-0.679983109048601,-0.608976941741226,-0.601024890798295,-0.809735567874062,-0.618559630055275,-0.622714829729374,-0.573836273880097,-0.786305827153487,-0.742831544602679,-0.583331960740082,-0.180252838931242,-0.712405892132097,-0.873840562437428,-0.594305291838912,-0.671108844486328,-0.598680317213288,-0.667746847472453
"13",13,15,"1965-03-01",31.31,433.2,3510,3.93,4,4.04,555.4,32.0837,18.58,31.9,34.3,126.6,2.6,354.6,1423,4.21,56696,19800,13844,61.1489,4,5.4,0.000849120728099585,0.00655768208950874,-0.00985015490938818,0.00786988830508316,0.00673647710508866,0.0106580284419054,0.00586753608342937,0.007608742087282,0.00102999562143943,0.000224265714619135,0.00429129456737736,0.0032315688652382,0.00280147951094866,0.00620411188073205,-0.00850782532283574,0.000681900848827133,0.00316584940799913,0.00760596288588923,0.00422979003245619,0.0110035988031168,0.00953795661603732,-0.00510421171301034,-0.542389985713963,0.588966652801628,-0.576384598261381,-0.567187762813204,-0.623084113461072,-0.55035678248284,-0.532798261822086,-0.758586718965626,-0.619843606260315,-0.618188421705385,-0.580247093219243,-0.824823437990706,-0.681699778465123,-0.575533923154821,-0.236547591516162,-0.65943992684336,-0.826570485623901,-0.527307859806921,-0.617974260606012,-0.537989635917347,-0.606352426108989
"14",14,16,"1965-04-01",31.38,435.4,3595,3.93,3.99,4.09,558.9,32.2234,18.609,32,34.4,127,2.6,356.3,1438,4.2,57089,19900,13855,62.1331,4,5.6,0.000941393477331095,0.00645821219511558,-0.00759828100241329,0.00734522908474428,0.00612050328354152,0.0107675117512218,0.00589516643806428,0.00739114486109873,0.00106530266490334,0.000417974200906368,0.00419928894338278,0.00322643605745666,0.00261471421021875,0.00610934968679538,-0.00724157428857068,0.000477899298574173,0.00341531225495354,0.00743475162882715,0.00400075419974861,0.0113344912024341,0.00890209284163484,-0.00233942132075134,-0.501922762531513,0.577327255961097,-0.531674382055012,-0.53789485080846,-0.583257547757869,-0.511525699232103,-0.48950067800572,-0.722810691175091,-0.61679564643172,-0.60889067291622,-0.584590477774049,-0.82870131529298,-0.631735045602109,-0.539638070791983,-0.271614833411558,-0.619649646746946,-0.78619628165331,-0.487429481315014,-0.578126082207129,-0.499788523385532,-0.563027843557391
"15",15,17,"1965-05-01",31.48,437.1,3432,3.89,3.95,4.1,563.1,32.4749,18.651,32.1,34.5,126.6,2.62,359.4,1478,4.21,57165,19600,13990,62.925,4,5.3,0.00108141115026766,0.00629812724972223,-0.0100234390364684,0.00624676050127183,0.00510824357902383,0.0102471674952424,0.0059946351597428,0.00741510996726252,0.00113962307936064,0.000586858771864956,0.00411825586304396,0.00282762275708343,0.00293022411867815,0.00626894668997496,-0.00507419069383785,0.000596663242723741,0.00328500332487291,0.00602069430865193,0.00435674520991736,0.011417628177898,0.00834571203903266,-0.0056344435621436,-0.487065434866399,0.520917908543568,-0.509615526168846,-0.531868143830071,-0.568302035550181,-0.503200393500709,-0.472105232225639,-0.698984823263483,-0.653577195277258,-0.625541375804213,-0.645437041061053,-0.813136055119931,-0.593439327632065,-0.546422229810317,-0.357502595959014,-0.59528468072316,-0.763720894722908,-0.481398105817501,-0.559832876225341,-0.494783668359342,-0.547198403822799
"16",16,18,"1965-06-01",31.61,440.1,3387,3.8,3.86,4.04,566.2,32.7265,18.705,32.4,34.7,126.9,2.62,360.9,1488,4.21,57761,19800,13992,64.1511,4,4.7,0.00126021653427096,0.00633000046725485,-0.0102102136690338,0.00450235747778437,0.00345197069577,0.00877719989333387,0.0059649589984183,0.00743290726340989,0.00124265135968054,0.00109953723600897,0.00421602686612955,0.00280051936021178,0.00275785799405003,0.00614518143169901,-0.00437905513038327,0.000561565404916462,0.00370188456812503,0.00626373414132054,0.00410887484691703,0.011881161650036,0.0078547878014425,-0.0123703181668447,-0.475515791193372,0.480434153743554,-0.477774906313891,-0.521873284706679,-0.548717804416412,-0.491611649192568,-0.449122219412012,-0.671203292303359,-0.670743769616155,-0.629998693713965,-0.685793733946746,-0.776564670328845,-0.559322194728507,-0.531845153309013,-0.429807459312419,-0.564438616697003,-0.73575799799627,-0.46245063737112,-0.532867327564078,-0.485766762423011,-0.526742096734687
"17",17,19,"1965-07-01",31.58,442.9,3301,3.84,3.9,4.09,570.4,33.0339,18.719,32.4,34.9,127.6,2.63,363.5,1529,4.2,58407,21000,14120,64.8904,4,5.2,0.00113745353792089,0.00633066916974665,-0.0110718196298975,0.00483396538831277,0.00383293730483062,0.00897292645935152,0.00604415552196658,0.0075393657292358,0.00121518089631399,0.00103845183400848,0.00430108883220948,0.00295054585077488,0.00281628412863989,0.00620258164798414,-0.00262571926002724,0.000398249415478477,0.00411410977049531,0.00918466557918792,0.00438652037479908,0.0118576779287264,0.00741841070136236,-0.00606662733138845,-0.395288148739169,0.465803095093317,-0.390733284534089,-0.454235400341955,-0.466419681973313,-0.423587051754901,-0.364560780902382,-0.589882388454304,-0.629504978303088,-0.579877730075651,-0.662382175278298,-0.704509023171741,-0.452019452007001,-0.448759502312806,-0.437770062619026,-0.48462538711209,-0.672985720956602,-0.370852060570993,-0.446351391292334,-0.416312170376307,-0.44182485103837
"18",18,20,"1965-08-01",31.55,445.8,3254,3.84,3.95,4.12,572.9,33.1736,18.723,32.4,35.1,128,2.64,365.9,1432,4.25,58192,20200,14174,65.4792,4,4.6,0.00102756546538434,0.00634097131989766,-0.0112438524953876,0.00457954615734894,0.00430167880338849,0.00888530892500274,0.00595621640578126,0.00736466605745791,0.00116246947023555,0.000983796474323819,0.0043754684338531,0.00295998517488819,0.00286779922547735,0.00622248656396323,-0.00593709500468218,0.00100015511187449,0.00370347991835084,0.00665706037416417,0.00435654921417641,0.0117090023569635,0.00702796803286961,-0.0122000849503855,-0.33002057665963,0.411379298324118,-0.323500596477797,-0.387848409273247,-0.395368432984597,-0.36313826540228,-0.29410765534608,-0.521099645517425,-0.60306638617839,-0.536782232290361,-0.659467123070673,-0.650685189254436,-0.365208741800344,-0.440041656269908,-0.490898589717217,-0.411179902402191,-0.612133618952789,-0.300373237328162,-0.372156223571989,-0.359512345675247,-0.370315205590384
"19",19,21,"1965-09-01",31.62,449.5,3216,3.92,4.07,4.01,587.9,33.2575,18.731,32.4,35.3,128.9,2.65,369.2,1482,4.29,58574,19600,14545,66.3883,4,4.9,0.0010869993318203,0.00643719440189807,-0.0112689927446245,0.00538153320961827,0.00558296589029271,0.00708794737660474,0.00695068978517606,0.00712272908959823,0.00112570553141076,0.000934606650607628,0.00444078668553201,0.00316231821742004,0.00291344540619878,0.00636028376594187,-0.00392421733767603,0.00141853485646077,0.0038454571161207,0.00481655544692154,0.00543062133142262,0.0118129672981104,0.00667656963122613,-0.00843113562178963,-0.303872903303394,0.35360954967506,-0.286614368170693,-0.323099201474186,-0.360275332335938,-0.337295467261605,-0.262416587722687,-0.474221132301319,-0.57642594101281,-0.489331530352075,-0.688496837512484,-0.621249448647655,-0.305590416196542,-0.426455065962259,-0.467674502851489,-0.362730498001062,-0.574232916286003,-0.277036602399527,-0.334016304405005,-0.339782713826216,-0.33610469024019
"20",20,22,"1965-10-01",31.65,452.6,3143,4.03,4.19,4.08,585,33.5929,18.738,32.5,35.6,129.8,2.66,373.8,1452,4.35,59137,19900,14443,67.05,4,5,0.0010803954021555,0.00645794130122493,-0.011825735637799,0.00644311363564695,0.00670081201359034,0.00757450926808035,0.00638422750129376,0.00726138149201843,0.00108989299254554,0.00103684759759813,0.00463230512520829,0.00334305993682136,0.00295406623425965,0.00664705084340968,-0.00471118843927673,0.00201237187094678,0.00411785791683037,0.00531053687773368,0.00483690489525327,0.0117227199786989,0.00635863774402488,-0.00706761929134635,-0.310816184602462,0.224718123464157,-0.277127904705664,-0.257582535380831,-0.352650574832743,-0.338262958891944,-0.262499838929692,-0.438222454588291,-0.552470864856614,-0.438565113490499,-0.703984330008522,-0.609337238877259,-0.308600812313046,-0.401107250554231,-0.456570603998032,-0.333014989591084,-0.55156830692087,-0.291398791431789,-0.326395473246778,-0.344961238099606,-0.344987243597286
