"","X","date","inflation","m2","unemployment","tb3m","tb6m","reserves","persincome","indprod","persconsind","pcomodind","m1","deposits","avehourearn","wages","houseunits","tresu10y","mbase","housesalesprice","dispincome","loansbanks","IntDiscUS","housesupply","Linflation","Lm2","Lunemployment","Ltb3m","Ltb6m","Lreserves","Lpersincome","Lindprod","Lpersconsind","Lpcomodind","Lm1","Ldeposits","Lavehourearn","Lwages","Lhouseunits","Ltresu10y","Lmbase","Lhousesalesprice","Ldispincome","Lloansbanks","LIntDiscUS","Lhousesupply","coraveearn.gdp","corhouseuni.gdp","cormbase.gdp","cortres10y.gdp","corwages.gdp","corun.gdp","corm2.gdp","corInf.gdp","cortb3m.gdp","cortb6m.gdp","correserves.gdp","cordisc.gdp","cordispinc.gdp","corhouseprice.gdp","corhousesupp.gdp","corloans.gdp","corcomind.gdp","cordeposits.gdp","corm1.gdp","corperscons.gdp","corpersinc.gdp"
"1",3,1964-03-01,30.94,399.8,3950,3.54,3.72,3.43,517,29.0374,18.353,31.6,32.6,121.4,2.5,330.6,1517,4.22,53830,19000,13365,52.7139,3.5,5.8,0,0.00578622809629348,-0.00990131364808988,0.00283286876783873,0.0108699933182029,-0.00723601630426718,0.00524990240187062,0.00337946524199761,0.00106362709539742,-0.00315458459663231,0.00462252907202543,0.00165016651432826,0,0.00838817903853206,-0.0275710866305103,0.00595954611860516,-0.00377541861154995,0.0326202609342001,0.0120022421360853,0.00280884385513147,0,0,0.98742002569379,-0.778775344564234,0.969591242167913,0.860725997616716,0.985129045102557,-0.967028991472769,0.992942902100953,0.966034097423231,0.936506408234945,0.908736863996143,0.950003887799105,0.653592600522307,0.980353416657624,0.856273152580019,0.170323422974143,0.994084503531953,0.979852084348174,0.973906479944104,0.987678278070657,0.965305419114778,0.987797736118416
"2",4,1964-04-01,30.95,401.7,3918,3.47,3.66,3.47,520.6,29.5125,18.368,31.6,32.7,121.5,2.52,332.8,1448,4.23,54052,18800,13424,53.229,3.5,6,0.000107717995228314,0.00543785849717437,-0.00931229556228708,-0.00476879855041257,0.00182648858820852,-0.000959233275871663,0.00581297428525899,0.00766272620922415,0.000981408483871811,-0.00210305639775488,0.00410261589153234,0.0013745723946205,0.0026560565497256,0.00780296054573141,-0.0338978598879637,0.00476198574915883,-0.00114507454004216,0.0182194708459544,0.00946976146871255,0.00511395681151387,0,0.0113005172252271,0.98103982641545,-0.787741681921282,0.966570084158806,0.855825868663779,0.981021674808198,-0.964941929968848,0.988638523348094,0.962968990878577,0.925638219135791,0.890587885721763,0.941676446218231,0.607727317338459,0.975106322034382,0.854037460211376,0.194324846582433,0.991746019062697,0.982782373512693,0.969524988857679,0.982060775487358,0.960831481127134,0.982114096572484
"3",5,1964-05-01,30.98,404.2,3764,3.48,3.6,3.5,523.9,29.6802,18.37,31.5,32.9,121.9,2.52,334.9,1467,4.2,54273,19300,13481,53.7445,3.5,6.2,0.000322997460950658,0.00562945977395191,-0.0170089961215192,-0.00285717395590568,-0.00276245904664629,0.00143266867724628,0.0059394391773715,0.00716360825924778,0.000763276135373525,-0.00236968598863596,0.00460135688567875,0.00185262272262121,0.0019920424122942,0.00742478812257485,-0.0221643436166428,0.00179212236965315,0.000161273977816734,0.0202266596532001,0.00816160534755372,0.00624496150393672,0,0.0166728436246681,0.976379262919692,-0.805622744117421,0.964749406813796,0.850443106521065,0.978228930719021,-0.962680969991747,0.98575550073754,0.959762363818785,0.877096130214731,0.83980850368711,0.904396412813211,0.705372218241952,0.97253711055816,0.850086504602287,0.205858466773446,0.989592872345395,0.980972787382129,0.968454656463633,0.978223803673945,0.957544387150039,0.978849964520067
"4",6,1964-06-01,31.01,407.1,3814,3.48,3.56,3.5,526.6,29.7641,18.397,31.5,33.2,121.9,2.53,336.8,1550,4.17,54940,18800,13514,54.2937,3.5,5.7,0.000451977593487562,0.00593337792704407,-0.0109679398061964,-0.00228573916472454,-0.00444462735694207,0.00114613494179703,0.00577963547150429,0.00629544910177691,0.000904362631621236,-0.00189574879090877,0.00549652913876644,0.00148209817809697,0.00238571417305473,0.00707129101166242,-0.00672438853925197,0,0.00257198217423209,0.0109316825075727,0.00701826396225407,0.00702934158686945,0,-0.00347834854237381,0.967654204880769,-0.804836255655979,0.960980111503091,0.855377680389883,0.973455527629609,-0.960155499752919,0.977372524778348,0.954873008427774,0.812974427027617,0.78609468115538,0.865418848606851,0.777640457326731,0.967932845512622,0.831525918844385,0.225680298253757,0.985336662195224,0.980401024624198,0.962372622514614,0.970805254146094,0.950346636014517,0.973056106554958
"5",7,1964-07-01,31.02,410.1,3608,3.46,3.56,3.42,529.6,29.9597,18.421,31.6,33.2,123,2.53,338.6,1562,4.19,55426,19100,13544,54.7159,3.5,5.5,0.000430385433912125,0.00616817775405002,-0.0183941006681388,-0.00286540009006212,-0.00370385613078505,-0.00289862378531151,0.00576315581968512,0.0063379035772985,0.000970920580756651,-0.00105152819887744,0.00458044094897203,0.00273230162927929,0.00198809514421228,0.00678110706486261,-0.0043183037016535,0.000797449687222729,0.00361117132388096,0.0117483129590908,0.00621812991868698,0.00714880890525649,0,-0.00885163755232473,0.957879488699207,-0.797947664685077,0.954352192297214,0.857085254812019,0.967340557453233,-0.954797358217323,0.96506344439864,0.94608982223936,0.742869091777895,0.736335518404493,0.827637858390663,0.809273317708175,0.962302001404118,0.806085908744102,0.218548162613731,0.979609812642764,0.978816149748039,0.95040463851964,0.963818281982376,0.941556578991361,0.965891355573015
"6",8,1964-08-01,31.05,413.4,3655,3.5,3.61,3.5,533.7,30.1553,18.436,31.6,33.4,123.9,2.55,342,1569,4.19,55427,18900,13607,55.1046,3.5,5.4,0.000506994747795427,0.00643195448199358,-0.0139174447153526,-0.000814003016376796,-0.00118227275769426,0.000818667815569306,0.00604154480503016,0.00636213880977283,0.000948497167531632,-0.00090130988475209,0.00478409567914907,0.00338346329119358,0.00282894675659709,0.00723970139324935,-0.0030626285537886,0.000683528303333768,0.00309786712209232,0.00856620925250822,0.00599278584142989,0.00713881529610256,0,-0.0102084234260207,0.942686582855421,-0.774833319349853,0.942479066278661,0.854311866661091,0.959144216661027,-0.955012414956117,0.9482742637606,0.934403063742332,0.716991312755834,0.722350697817191,0.774065644339608,0.842191321078947,0.954418475819178,0.793523136894383,0.193397822970955,0.971313891204224,0.97734671678623,0.931033723260567,0.955059418226103,0.929689133037326,0.955772342187839
"7",9,1964-09-01,31.08,416.9,3712,3.53,3.68,3.45,536.7,30.2671,18.464,31.7,33.6,124.6,2.55,343.6,1455,4.2,55887,18900,13642,55.7749,3.5,5.4,0.000564335044315856,0.00668180237662974,-0.010243423910657,0.000354610166899971,0.00136613381652378,-0.00108225784288932,0.00598702618476188,0.00602944877916323,0.00101963695501861,-0.000393701112862022,0.00493235459256847,0.00366475759457641,0.00247532841202246,0.00691817035003017,-0.0121088716254949,0.000896061184826574,0.00374375314746422,0.00749543309594469,0.00556480048922703,0.00775780715300056,0,-0.0089323704977681,0.93626987887119,-0.730194385671179,0.937629478116147,0.855390276108899,0.95642127393014,-0.949352045551061,0.937463626691461,0.929522996408986,0.685574117655058,0.709252710594281,0.712842396266955,0.881522485785745,0.951134964118092,0.773384626479904,0.152985999604563,0.968573477993531,0.975699688205897,0.915297571582494,0.951500830123646,0.924375533134039,0.951151667857201
"8",10,1964-10-01,31.12,419.1,3726,3.57,3.72,3.36,537.4,29.8479,18.477,31.7,33.6,125,2.55,343.5,1524,4.19,56162,18900,13622,56.2908,3.5,5.3,0.000644539351696752,0.00652417656192365,-0.00868699266997927,0.00156717846461577,0.00241555407071176,-0.00389903553458557,0.00546662516407813,0.00380986242456189,0.000984546743052878,-0.000349956544766241,0.00438431519339419,0.00361368796728446,0.00220029192179774,0.00611714270583826,-0.0056153795958845,0.000531633124815153,0.00387317798034342,0.00666260719639528,0.00478347416671276,0.00791884681286249,0,-0.010016788554922,0.927937420633574,-0.703189649759829,0.93126599438248,0.856853564363102,0.953425820072895,-0.940464519556116,0.924414836576939,0.923329155779649,0.659518161211182,0.699374014483203,0.652221694953756,0.911338611313442,0.947819109809786,0.759100307872376,0.116723877510791,0.965395396318877,0.974815184428018,0.897810538839275,0.947517733181255,0.918152461998033,0.946096604061656
"9",11,1964-11-01,31.21,422,3551,3.64,3.81,3.52,541.3,30.7702,18.502,31.7,33.8,125.6,2.56,346.3,1486,4.15,56786,19300,13685,56.8628,3.62,5.6,0.000868871113776804,0.00656133481622989,-0.012628895224826,0.00335226920386438,0.00456455074899602,0.00114286958236227,0.00564305840982442,0.00647209653663716,0.00102130396635864,-0.000314960890289617,0.0045393572260362,0.00373117084373566,0.0023716526617316,0.00631726240985167,-0.00757889273318479,-0.000480770156810317,0.00459080466769901,0.00809066386128006,0.00476654771739309,0.00813798585920047,0.00337110573423116,-0.00350913198112701,0.925357756728013,-0.642637766966616,0.930639399655335,0.863212216517537,0.956835009003359,-0.906949753072434,0.917689416509549,0.926249030973425,0.636275631255879,0.693769118774582,0.560661837394807,0.911332907969094,0.946830652738229,0.734635368167286,0.0647077946943501,0.966720646186067,0.975695488813227,0.889673496554585,0.949436260862596,0.921216155957661,0.947142176944501
"10",12,1964-12-01,31.25,424.7,3651,3.84,3.95,3.85,547.5,31.1335,18.529,31.7,33.9,125.8,2.58,350.2,1484,4.18,57737,21000,13803,58.3481,4,5.5,0.000906321003408251,0.00654464285868294,-0.0089561003214281,0.00791012518087545,0.00743017247858011,0.00918553222848272,0.00616539927145165,0.00695078964431429,0.00106102523770338,-0.00028632808208147,0.00439525310525395,0.00353661806087265,0.00286351518721554,0.00676105386744474,-0.00701233898929334,0.000217746429632258,0.00568331327637898,0.0150294527659439,0.00511373586570262,0.00974230053657185,0.0121392175113202,-0.00482816593763167,0.923287598889013,-0.557559033101976,0.93277961347836,0.859164978997819,0.958103484709168,-0.875875326824179,0.914150823257152,0.928802118467966,0.619239503861824,0.694486964173987,0.479580077594594,0.92379298004661,0.944307625382187,0.724220980625802,0.0593517007772473,0.965607486318856,0.968072798000461,0.887637564546055,0.95081677870078,0.92379741906716,0.946924721656157
