"","date","inflation","m2","unemployment","tb3m","tb6m","reserves","persincome","indprod","persconsind","pcomodind","m1","deposits","avehourearn","wages","houseunits","tresu10y","mbase","housesalesprice","dispincome","loansbanks","IntDiscUS","housesupply","Linflation","Lm2","Lunemployment","Ltb3m","Ltb6m","Lreserves","Lpersincome","Lindprod","Lpersconsind","Lpcomodind","Lm1","Ldeposits","Lavehourearn","Lwages","Lhouseunits","Ltresu10y","Lmbase","Lhousesalesprice","Ldispincome","Lloansbanks","LIntDiscUS","Lhousesupply","coraveearn.inf","corhouseuni.inf","cormbase.inf","cortres10y.inf","corwages.inf","corun.inf","corm2.inf","corGDP.inf","cortb3m.inf","cortb6m.inf","correserves.inf","cordisc.inf","cordispinc.inf","corhouseprice.inf","corhousesupp.inf","corloans.inf","corcomind.inf","cordeposits.inf","corm1.inf","corperscons.inf","corpersinc.inf"
"487",2004-07-01,189.1,6248.8,8136,1.33,1.66,1.26,10070.3,97.0032,89.834,147.4,685.3,321.7,15.7,5466,2002,4.5,757304,212400,34213,878.0058,2.25,4.5,0.00205496353225839,0.0049075431364296,-0.00128091090553569,-0.00973395213256271,-0.000992110362238272,-0.0132087369810959,0.00394904461202035,0.00132527900365838,0.00181928080249094,0.00485112930188532,0.00448267648765984,0.00140943841940611,0.00195603059438287,0.0037062161612671,0.00793106966933343,-0.00136624261762462,0.00452863253763258,0.00792760867361531,0.00183876245967747,-0.0044372964511182,0.0244911110375883,0.00287470297862298,0.97514756448176,-0.713566688847721,0.97185938371218,0.766016165816012,0.969374369269491,-0.934631167010905,0.971678075050626,0.941144127356661,0.956587416027964,0.952525442929777,0.97123005066372,0.34077493878812,0.882619471947106,0.75732083436081,0.924365909184361,0.981017228252482,0.977811229437612,-0.857379806130643,0.985629519989399,0.999082987737418,0.980720534828337
"488",2004-08-01,189.2,6274.7,7990,1.48,1.72,1.43,10117.9,97.0723,89.908,148,686.9,331.5,15.74,5497.5,2024,4.28,757181,218100,34284,882.9693,2.5,4.3,0.00196141161853506,0.0047660113651186,-0.00160610694355623,-0.00376600256117788,0.00301336089915109,-0.0081754445397759,0.00409006959400049,0.00134461916193758,0.00177372025783192,0.00492522592276231,0.00447840770851012,0.0046632465084994,0.00195094152721953,0.00385742192785991,0.00894403905987048,0.000195160388017766,0.00449396568204212,0.00825527844553794,0.00199520432324148,-0.00402063837537011,0.0288811325233311,0.00301336089915109,0.975866070226088,-0.744712578589297,0.970786544115822,0.80836415161171,0.970330486817709,-0.908380417035848,0.972041722576018,0.940724507883859,0.946882055661318,0.941179989745593,0.964213986653139,0.296415889489197,0.88323097879753,0.731818379315373,0.938131521375557,0.981457295911321,0.977379806290623,-0.908059524227976,0.98481797267514,0.999079019191557,0.980752059271903
"489",2004-09-01,189.8,6309.7,7927,1.65,1.87,1.61,10146.1,97.1565,90.083,147.7,690.4,339.2,15.77,5512.9,1905,4.13,762233,211600,34255,886.7862,2.75,4.1,0.00202414325907296,0.00481354908163685,-0.00166915630279944,0.000508136378909093,0.00649728340086499,-0.00347423370579379,0.00412253396598391,0.00131970142658618,0.00178371557873761,0.004587963267351,0.00459572346686229,0.0050060129934193,0.00191946577513332,0.00389921619560692,0.00226981612242638,0.00270928749713546,0.00473232632852187,0.00732196212786144,0.00197397141007853,-0.00357375170880488,0.0328523900151779,0.00208376752394423,0.976990912241359,-0.770172646781384,0.969579873299992,0.797791955961487,0.971859936554699,-0.888664969705951,0.971607630655314,0.939515478584601,0.919473315743659,0.916169151027711,0.952536661106973,0.303464090486065,0.884557543941762,0.667887130009597,0.944051636682161,0.981053104331602,0.97627177858742,-0.922944548860038,0.983989478835247,0.999072071856884,0.980932001700301
"490",2004-10-01,190.8,6337.9,8061,1.76,2,1.76,10196.6,98.0701,90.43,150,693.5,333.7,15.81,5528.5,2072,4.1,763876,229200,34257,889.3376,2.75,3.9,0.00215101522522113,0.0046737492627682,-0.00125253810647793,0.00449537341713271,0.0103525566374375,0.000237417546443242,0.00419948998218881,0.00185543609708982,0.00186625427297682,0.00494931399958195,0.00466799007148955,0.00409004617860131,0.00185934501958307,0.00402276500160892,0.0095396622045815,0.00165859376668415,0.00473285196086877,0.00799126367595027,0.00191777785478719,-0.00331026987519711,0.0328523900151779,-0.00105490866601208,0.978466614048797,-0.812085473281057,0.966146452874949,0.747948729767092,0.973098255206578,-0.854885748649475,0.973142707919937,0.939158808080729,0.871548044589615,0.869499811672027,0.935351424777747,0.394169927962071,0.883419777284509,0.60370750197368,0.949804666018633,0.9794421199228,0.975417060597747,-0.924585289481541,0.982677543661217,0.999052331060031,0.980861827513558
"491",2004-11-01,191.7,6365.2,7932,2.07,2.27,1.93,10211.7,98.2541,90.734,151.4,697.9,339.1,15.84,5522,1782,4.19,770493,224500,34149,897.5055,3,4.3,0.00227816651444557,0.00448891076864285,-0.00297963042431978,0.0216889349122063,0.0241984554592838,0.0152020995397489,0.00415416962429209,0.00171657288230583,0.00196467079300603,0.00536769231676178,0.00474376608596927,0.00484163385078333,0.00185574393462088,0.0039422171494888,0.000683655129563328,0.00141599386731661,0.00468849859064087,0.00892809639889292,0.00172385127165538,-0.0028229549876498,0.0535392444524835,0.00301336089915109,0.9794954692878,-0.827614048243067,0.963120493311207,0.691507033486421,0.972965778528168,-0.806422467161569,0.974705722885694,0.937252704703691,0.817897833912747,0.814369344763367,0.911074228209686,0.460829820598119,0.875933273387497,0.528215570761306,0.951701007405442,0.977413400049097,0.975002553689689,-0.929049559258605,0.981700033019744,0.999039336016894,0.980221789471155
"492",2004-12-01,191.7,6384.2,7934,2.19,2.43,2.16,10561.3,98.9703,90.793,150.2,697.8,342.6,15.87,5541.5,2042,4.23,776279,229600,35370,906.3407,3.25,4.1,0.00220935284617585,0.00445955074102663,-0.00355188586349272,0.0254145098627071,0.0280324949056463,0.0231248684199637,0.00543387488266781,0.00222078898894296,0.00195807219226614,0.00509878223378476,0.00451094666084869,0.00462581747717942,0.00176989284446316,0.00410568868259638,0.00553466845796465,0.00201815071248312,0.00435634517805757,0.00625391163048516,0.00309616978398982,-0.00230174895249291,0.0610973778663928,0.00102885885793214,0.979782995697812,-0.874770309161054,0.960850489914903,0.546907471791235,0.971126478385568,-0.745221004421025,0.976124188343721,0.93717999150645,0.703637447559138,0.698906036458993,0.866568688228298,0.485211448412157,0.857888940984467,0.509391720259817,0.957421295565502,0.977671307992333,0.975488791118968,-0.921028692829021,0.978084911365342,0.999068395808324,0.978483982530034
"493",2005-01-01,191.6,6390.9,7784,2.33,2.61,2.28,10313.5,99.417,90.854,150.9,698.9,337.1,15.9,5568.8,2144,4.22,775222,223100,34164,921.5988,3.25,4.4,0.00200466239066214,0.00426568117780746,-0.00376441649823001,0.0287026882819977,0.0323761943558603,0.0253776693062252,0.00441628984415347,0.00217595113074502,0.00187653283694478,0.00454678460821086,0.00431788056396139,0.00364008426314496,0.0018211981996936,0.00434864074163621,0.00607780399605555,0.00171326028872803,0.0042968311153256,0.00855263025151509,0.00166211034651812,-0.00128952753345801,0.0153218658385549,0.00397125749184687,0.980184030578944,-0.892486791517176,0.960302177520719,0.399143671766339,0.969876717429324,-0.593728919635436,0.977896303631331,0.93606611644456,0.553515230784705,0.546972613706709,0.800914102107915,0.535497307193962,0.902467491311238,0.366685999481714,0.961306664356677,0.978009945007789,0.976194334321201,-0.913368870453083,0.971537748192971,0.99908370882917,0.980669242599486
"494",2005-02-01,192.4,6399,7980,2.54,2.77,2.5,10352.4,100.0955,91.12,151.6,700.4,340.8,15.93,5583.4,2207,4.17,772882,237300,34156,931.9041,3.5,4.3,0.00195071083521732,0.00405997248686255,-0.00320477615549704,0.0322983471758659,0.0355555367384031,0.0285491254546154,0.00450986533079104,0.00233219424796075,0.00182790760586286,0.00403727282120951,0.00408444172995855,0.00374568569698552,0.00170854599920776,0.00438388602402321,0.0126528249022788,0.0027891451114629,0.0040699339207535,0.00992568944113044,0.00176546826026243,-0.000431608695183217,0.0184096980116266,-0.00189426558653156,0.980841424902847,-0.901785339797836,0.951765550504926,0.182711957034862,0.968162216955617,-0.428466861115704,0.979921649923225,0.932513684867669,0.367155207435522,0.334311910843768,0.702053647085567,0.442389342634559,0.890276637770581,0.225043290528871,0.966581397207384,0.979539020391802,0.976193356327865,-0.895053325298901,0.960341496403279,0.999077476382514,0.979140975821068
"495",2005-03-01,193.1,6407.6,7737,2.74,3,2.63,10414.2,99.9283,91.392,153.7,702,339.7,15.97,5587.5,1864,4.5,773481,229300,34240,945.8977,3.75,4.1,0.00203400240934137,0.00396833138197221,-0.00434799435205073,0.0369058453198221,0.0406831106643275,0.030993345619811,0.00454760077399382,0.00235394041098669,0.00185093411988961,0.00353438856189203,0.00389179864166959,0.00414949116333193,0.0018130392619146,0.00421349645284493,0.0032049218167568,0.00693534198490269,0.00384674232164432,0.00892229042851696,0.0017496209052182,0.000372551643171515,0.0212844009902496,0,0.981090817536974,-0.904456066701157,0.940021463422481,-0.00472334007666521,0.965970720925784,-0.276333681735027,0.981504247038896,0.927227575185268,0.138113799949145,0.0769112269991477,0.512166268550388,0.372850380242255,0.878110590845806,0.231951622719598,0.970112535159859,0.981089705581863,0.975826184266486,-0.868461882692405,0.947253946995118,0.999077927369403,0.977713597148364
"496",2005-04-01,193.7,6422,7672,2.78,3.05,2.79,10469.3,100.0742,91.655,155,703.4,324.8,16.01,5619.1,2061,4.34,775537,236300,34282,958.4956,3.75,4.3,0.00232217159053834,0.00379877165040428,-0.00591398990928808,0.0375097206240957,0.0410047220088715,0.0331220781195787,0.0046320370068893,0.00271378849197697,0.00204222118209751,0.00520437965544984,0.00374087482509429,0.00142229768498396,0.0019718086574201,0.00431009658239086,0.00944447761888297,0.00381793011858018,0.00370507948616972,0.0091963816529325,0.00156405340530948,0.0010356169574172,0.0212844009902496,0.00198450204121894,0.981144849488651,-0.929965990533795,0.931650185650927,-0.147865151708866,0.963548304453962,-0.0720624759937504,0.982580681399002,0.913850021960664,-0.106599090858647,-0.159174421869695,0.284721347409431,0.278230468913395,0.86667621764244,0.0911875350993077,0.97195063348723,0.982776107959381,0.970069346122745,-0.817784556822171,0.935258859189335,0.999089191168331,0.976537493975678
